import time: self [us] | cumulative | imported package
import time:       381 |        381 |                         torch.distributed.algorithms.join
import time:       149 |        530 |                       torch.distributed.algorithms
import time:        11 |        540 |                     torch.distributed.algorithms.join
import time:       288 |        288 |                     torch.distributed.utils
import time:       910 |       1737 |                   torch.nn.parallel.distributed
import time:       138 |       3332 |                 torch.nn.parallel
import time:       160 |      45354 |               torch.nn
import time:        10 |      45363 |             torch.nn.functional
import time:       138 |        138 |               torch._linalg_utils
import time:       179 |        316 |             torch._lowrank
import time:      1758 |      47436 |           torch.functional
import time:       140 |        140 |               torch.cpu.amp.autocast_mode
import time:       142 |        281 |             torch.cpu.amp
import time:       220 |        501 |           torch.cpu
import time:       132 |        132 |             torch.mps.profiler
import time:       114 |        114 |             torch.mps.event
import time:       215 |        460 |           torch.mps
import time:       276 |        276 |           torch.fft
import time:       149 |        149 |           torch.nested
import time:       224 |        224 |               torch.signal.windows.windows
import time:       129 |        352 |             torch.signal.windows
import time:       115 |        467 |           torch.signal
import time:       588 |        588 |               torch.optim.optimizer
import time:       183 |        771 |             torch.optim.adadelta
import time:       188 |        188 |             torch.optim.adagrad
import time:       217 |        217 |             torch.optim.adam
import time:       211 |        211 |             torch.optim.adamw
import time:       154 |        154 |                 torch.optim.adamax
import time:       146 |        146 |                 torch.optim.asgd
import time:       164 |        164 |                 torch.optim.nadam
import time:       158 |        158 |                 torch.optim.radam
import time:       209 |        209 |                 torch.optim.rmsprop
import time:       156 |        156 |                 torch.optim.rprop
import time:       152 |        152 |                 torch.optim.sgd
import time:       136 |       1273 |               torch.optim._functional
import time:       149 |       1422 |             torch.optim.sparse_adam
import time:       160 |        160 |             torch.optim.lbfgs
import time:       434 |        434 |             torch.optim.lr_scheduler
import time:       198 |        198 |             torch.optim.swa_utils
import time:       169 |       3766 |           torch.optim
import time:       187 |        187 |           torch.optim._multi_tensor
import time:       602 |        602 |                 multiprocessing.process
import time:        38 |         38 |                     array
import time:       939 |        976 |                   socket
import time:       230 |       1205 |                 multiprocessing.reduction
import time:       363 |       2170 |               multiprocessing.context
import time:       326 |       2495 |             multiprocessing
import time:       209 |        209 |               multiprocessing.util
import time:       162 |        162 |               multiprocessing.resource_sharer
import time:       223 |        593 |             torch.multiprocessing.reductions
import time:       253 |        253 |                 _multiprocessing
import time:        47 |         47 |                 _winapi
import time:       349 |        648 |               multiprocessing.connection
import time:       198 |        845 |             torch.multiprocessing.spawn
import time:       169 |       4101 |           torch.multiprocessing
import time:       236 |        236 |           torch.special
import time:       131 |        131 |           torch.utils.backcompat
import time:       136 |        136 |                     torch.backends.cpu
import time:       281 |        281 |                     torch.backends.cuda
import time:       168 |        168 |                     torch.backends.cudnn
import time:       128 |        128 |                     torch.backends.mkl
import time:       138 |        138 |                     torch.backends.mkldnn
import time:       149 |        149 |                       torch.library
import time:       126 |        274 |                     torch.backends.mps
import time:       171 |        171 |                     torch.backends.openmp
import time:       154 |        154 |                     torch.backends.quantized
import time:       197 |       1643 |                   torch.backends
import time:         9 |       1651 |                 torch.backends.cudnn
import time:       205 |       1856 |               torch.jit._builtins
import time:       817 |       2673 |             torch.jit._async
import time:       150 |        150 |             torch.jit._await
import time:       128 |        128 |             torch.jit._decomposition_utils
import time:       141 |        141 |                 torch._classes
import time:       162 |        162 |                 torch.jit._fuser
import time:        52 |         52 |                   monkeytype
import time:       175 |        226 |                 torch.jit._monkeytype_config
import time:       162 |        162 |                   torch.jit._check
import time:       160 |        160 |                   torch.jit._state
import time:       230 |        230 |                     torch.jit.annotations
import time:       210 |        210 |                     torch.jit._dataclass_impls
import time:        47 |         47 |                     astunparse
import time:       390 |        875 |                   torch.jit.frontend
import time:       427 |       1623 |                 torch.jit._recursive
import time:       174 |        174 |                 torch.jit._serialization
import time:       650 |       2972 |               torch.jit._script
import time:       166 |       3137 |             torch.jit._freeze
import time:       167 |        167 |             torch.jit._ir_utils
import time:       467 |        467 |             torch.jit._trace
import time:       212 |       6931 |           torch.jit
import time:       310 |        310 |           torch.linalg
import time:       224 |        224 |               _uuid
import time:       305 |        528 |             uuid
import time:       583 |        583 |             zipfile
import time:       170 |        170 |               urllib.response
import time:       192 |        361 |             urllib.error
import time:       299 |        299 |               email
import time:       589 |        589 |                 http
import time:       273 |        273 |                     email.errors
import time:       478 |        478 |                         email.quoprimime
import time:       126 |        126 |                         email.base64mime
import time:       153 |        153 |                             quopri
import time:       112 |        264 |                           email.encoders
import time:       154 |        417 |                         email.charset
import time:       425 |       1445 |                       email.header
import time:       406 |        406 |                             locale
import time:       349 |        755 |                           calendar
import time:       175 |        929 |                         email._parseaddr
import time:       318 |       1247 |                       email.utils
import time:       211 |       2902 |                     email._policybase
import time:       348 |       3522 |                   email.feedparser
import time:       188 |       3710 |                 email.parser
import time:       175 |        175 |                   uu
import time:       242 |        242 |                   email._encoded_words
import time:       121 |        121 |                   email.iterators
import time:       358 |        896 |                 email.message
import time:      1106 |       1106 |                   _ssl
import time:      1448 |       2554 |                 ssl
import time:       620 |       8366 |               http.client
import time:       820 |       9484 |             urllib.request
import time:       173 |        173 |               tqdm._monitor
import time:       113 |        113 |               tqdm._tqdm_pandas
import time:        26 |         26 |                     unicodedata
import time:       288 |        314 |                   tqdm.utils
import time:       492 |        805 |                 tqdm.std
import time:       107 |        107 |                   tqdm._dist_ver
import time:       124 |        231 |                 tqdm.version
import time:       318 |       1353 |               tqdm.cli
import time:       160 |        160 |               tqdm.gui
import time:       209 |       2007 |             tqdm
import time:       322 |      13283 |           torch.hub
import time:       352 |        352 |               torch.distributions.constraints
import time:       153 |        153 |                   torch.distributions.utils
import time:       239 |        392 |                 torch.distributions.distribution
import time:       138 |        530 |               torch.distributions.exp_family
import time:       203 |       1083 |             torch.distributions.bernoulli
import time:       178 |        178 |               torch.distributions.dirichlet
import time:       151 |        328 |             torch.distributions.beta
import time:       157 |        157 |             torch.distributions.binomial
import time:       153 |        153 |             torch.distributions.categorical
import time:       132 |        132 |             torch.distributions.cauchy
import time:       128 |        128 |               torch.distributions.gamma
import time:       118 |        246 |             torch.distributions.chi2
import time:       495 |        495 |               torch.distributions.transforms
import time:       178 |        673 |             torch.distributions.constraint_registry
import time:       175 |        175 |             torch.distributions.continuous_bernoulli
import time:       173 |        173 |             torch.distributions.exponential
import time:       141 |        141 |             torch.distributions.fishersnedecor
import time:       157 |        157 |             torch.distributions.geometric
import time:       135 |        135 |                 torch.distributions.independent
import time:       145 |        279 |               torch.distributions.transformed_distribution
import time:       137 |        137 |               torch.distributions.uniform
import time:       135 |        550 |             torch.distributions.gumbel
